Date,Variable,Valid_pct,Out_of_range_pct,Min,P01,Median,P99,Max
2013-05-17,Sensor_Zenith,100.0,0.0,0.0992000007629394,0.1235999965667724,0.1935000038146972,0.2507999992370605,0.2771999931335449
2013-05-17,UTC_Time,100.0,0.0,17.35114097595215,17.35181999206543,17.35639190673828,17.36300277709961,17.36383628845215
2013-05-18,DNB_At_Sensor_Radiance_500m,100.0,0.0,0.0200000002980232,0.0400000005960464,0.05,0.15,4.459999847412109
2013-05-18,Granule,100.0,0.0,0.0,1.0,1.0,1.0,1.0
2013-05-18,Moon_Illumination_Fraction,100.0,0.0,0.5463000106811523,0.5463000106811523,0.5463000106811523,0.5463000106811523,0.5463000106811523
2013-05-18,QF_Cloud_Mask,100.0,0.0,34.0,34.0,50.0,754.0,762.0
2013-05-18,QF_DNB,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-18,Sensor_Azimuth,100.0,0.0,0.9625,0.9695999908447266,0.9831999969482422,0.9985940048217776,1.006800003051758
2013-05-18,Sensor_Zenith,100.0,0.0,0.1002000045776367,0.1297999954223632,0.1906999969482422,0.2557759998321542,0.2765999984741211
2013-05-18,UTC_Time,100.0,0.0,17.03740119934082,17.0380802154541,17.042682647705078,17.049293518066406,17.05015754699707
2013-05-19,DNB_At_Sensor_Radiance_500m,100.0,0.0,0.0200000002980232,0.0300000011920928,0.0600000023841857,0.1799999952316284,2.8100000381469727
2013-05-19,Granule,100.0,0.0,0.0,1.0,1.0,1.0,1.0
2013-05-19,Moon_Illumination_Fraction,100.0,0.0,0.6525,0.6525,0.6525,0.6525,0.6525
2013-05-19,QF_Cloud_Mask,100.0,0.0,34.0,34.0,34.0,746.0,758.0
2013-05-19,QF_DNB,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-19,Sensor_Azimuth,100.0,0.0,0.9690000152587892,0.9704000091552736,0.9754000091552736,0.980999984741211,0.9829000091552734
2013-05-19,Sensor_Zenith,100.0,0.0,0.4229999923706055,0.441500015258789,0.4784999847412109,0.5156000137329102,0.5275999832153321
2013-05-19,UTC_Time,100.0,0.0,16.723291397094727,16.723970413208008,16.72860336303711,16.735275268554688,16.73617172241211
2013-05-20,DNB_At_Sensor_Radiance_500m,100.0,0.0,0.0,0.0400000005960464,0.1600000023841858,0.4199999809265137,6.550000000000001
2013-05-20,Granule,100.0,0.0,0.0,0.0,1.0,2.0,2.0
2013-05-20,Moon_Illumination_Fraction,100.0,0.0,0.7487999725341797,0.7493000030517578,0.7493000030517578,0.7493000030517578,0.7493000030517578
2013-05-20,QF_Cloud_Mask,100.0,0.0,0.0,34.0,34.0,746.0,758.0
2013-05-20,QF_DNB,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-20,Sensor_Azimuth,100.0,0.0,-0.7841000366210937,-0.7815000152587891,0.9670999908447264,0.9719000244140624,0.9733999633789062
2013-05-20,Sensor_Zenith,100.0,0.0,0.6118999862670899,0.6224000167846679,0.6436000061035156,0.6612000274658203,0.6625
2013-05-20,UTC_Time,100.0,0.0,16.408809661865234,16.4095516204834,16.41454315185547,18.084083557128903,18.087717056274418
2013-05-21,DNB_At_Sensor_Radiance_500m,100.0,0.0,0.0400000005960464,0.0699999988079071,0.1100000023841858,0.2900000095367431,6.880000305175781
2013-05-21,Granule,100.0,0.0,1.0,1.0,1.0,1.0,2.0
2013-05-21,Moon_Illumination_Fraction,100.0,0.0,0.8372000122070312,0.8373999786376953,0.8373999786376953,0.8373999786376953,0.8373999786376953
2013-05-21,QF_Cloud_Mask,100.0,0.0,34.0,34.0,34.0,738.0,758.0
2013-05-21,QF_DNB,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-21,Sensor_Azimuth,100.0,0.0,-0.7972000122070313,-0.7962000274658203,-0.7916000366210938,-0.7870999908447266,-0.7862000274658203
2013-05-21,Sensor_Zenith,100.0,0.0,0.494000015258789,0.5063999938964844,0.542400016784668,0.5706999969482422,0.5834999847412109
2013-05-21,UTC_Time,100.0,0.0,17.7690372467041,17.769746780395508,17.77431869506836,17.780960083007812,17.781824111938477
2013-05-22,DNB_At_Sensor_Radiance_500m,100.0,0.0,0.05,0.1,0.1899999976158142,0.4400000095367432,5.390000152587891
2013-05-22,Granule,100.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-05-22,Moon_Illumination_Fraction,100.0,0.0,0.9119000244140624,0.9119000244140624,0.9119000244140624,0.9119000244140624,0.911999969482422
2013-05-22,QF_Cloud_Mask,100.0,0.0,34.0,34.0,42.0,754.0,762.0
2013-05-22,QF_DNB,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-22,Sensor_Azimuth,100.0,0.0,-0.813499984741211,-0.8102999877929687,-0.8013999938964844,-0.7933000183105469,-0.7919000244140625
2013-05-22,Sensor_Zenith,100.0,0.0,0.2209000015258789,0.2428000068664551,0.3045999908447265,0.3540999984741211,0.3758000183105469
2013-05-22,UTC_Time,100.0,0.0,17.455854415893555,17.456533432006836,17.461105346679688,17.467683792114258,17.468549728393555
2013-05-23,DNB_At_Sensor_Radiance_500m,100.0,0.0,0.0699999988079071,0.1299999952316284,0.2799999952316284,1.3,3.84000015258789
2013-05-23,Granule,100.0,0.0,0.0,1.0,1.0,1.0,1.0
2013-05-23,Moon_Illumination_Fraction,100.0,0.0,0.9666999816894531,0.9666999816894531,0.9666999816894531,0.9666999816894531,0.9666999816894531
2013-05-23,QF_Cloud_Mask,100.0,0.0,34.0,34.0,50.0,758.0,762.0
