Group,Code,Label,Matched_days,Pearson_r,Spearman_r,Median_absolute_difference_pct
30,G1,Urban Core,143,0.6907495813054674,0.6895597195252912,15.658661596129
23-30,G2,Dense Urban,149,0.6749788582253851,0.6939484755230828,14.964457281915912
22-30,G3,Core & Inner,154,0.6584550873357438,0.6982295063954309,15.14247308580929
