Group,Code,Label,Matched_days,Pearson_r,Spearman_r,Median_absolute_difference_pct
30,G1,Urban Core,75,0.8124198586013882,0.8124599965757148,11.793013446544485
23-30,G2,Dense Urban,70,0.7689040791184111,0.7799025716003393,14.490349849463733
22-30,G3,Core & Inner,71,0.7293328880428168,0.7543046554846998,17.959390120394055
