Source,Impact_date,Impact_pct_baseline,Impact_drop_pct,T50_date,T50_days,T80_date,T80_days
G2: Dense Urban NTL,2013-11-14,7.286272083263974,92.71372791673602,2013-12-03,25,2014-02-05,89
NGCP 1 AM load,2013-11-09,0.0,100.0,2014-03-08,120,2014-04-24,167
