Date,Complete_band_set,Source_valid_pct,Core_valid_pct,Night_pct,Cloud_mask_medium_high_pct,Confident_clear_pct,Probably_clear_pct,Probably_cloudy_pct,Confident_cloudy_pct,Cloudy_pct,Shadow_pct,Cirrus_pct,Snow_ice_pct,QF_DNB_good_pct,Strict_observable_pct,Inclusive_observable_pct,Strict_observable_pixels,Land_water_change_pct,Radiance_all_median,Radiance_strict_p25,Radiance_strict_median,Radiance_strict_p75,Radiance_strict_p95,Sensor_zenith_abs_p25,Sensor_zenith_abs_median,Sensor_zenith_abs_p75,Sensor_zenith_abs_p90,Sensor_azimuth_circular_mean,Sensor_azimuth_resultant,UTC_time_p25,UTC_time_median,UTC_time_p75,Moon_illumination_pct,Granule_mode,Granule_unique_count,QF_Substitute_calibration_pct,QF_Out_of_range_pct,QF_Saturation_pct,QF_Temperature_not_nominal_pct,QF_Stray_light_pct,QF_Bowtie_deleted_pct,QF_Missing_EV_pct,QF_Calibration_failure_pct,QF_Dead_detector_pct,Days_from_event
2013-06-23,True,100.0,100.0,100.0,100.0,47.027058697159376,7.672327087015536,1.6248889236087378,43.67572529221635,45.30061421582509,0.0,37.84799867196578,0.0,100.0,47.027058697159376,50.24070620172449,48159,3.9841026492329625,0.6800000190734864,0.5800000190734863,0.65,0.7400000095367432,1.2199999809265138,0.2768000030517578,0.2979999923706055,0.3127000045776367,0.3243000030517578,359.1983676791977,0.999999996713989,17.45773696899414,17.460363388061523,17.4625244140625,0.9981999969482422,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138
2013-06-24,True,100.0,100.0,100.0,100.0,80.51793334440028,3.719472301698126,0.7675256574257618,14.995068696475828,15.762594353901587,0.0,9.903619869735468,0.0,100.0,80.51793334440028,84.23740564609841,82456,3.472418877615788,0.4599999904632568,0.4199999809265137,0.45,0.4900000095367431,0.7199999809265137,0.055,0.0734999990463256,0.0990999984741211,0.1190999984741211,0.9748519913949848,0.9999973157353323,17.144001007080078,17.146656036376953,17.148788452148438,0.9752999877929688,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137
2013-06-25,True,100.0,100.0,100.0,100.0,0.001952991494722,0.0048824787368051,0.0058589744841661,99.98730555528432,99.99316452976848,0.0,80.92415557530246,0.0,100.0,0.001952991494722,0.0068354702315271,2,3.855205210581308,1.0399999618530271,0.3599999904632568,0.3599999904632568,0.3599999904632568,0.3599999904632568,0.3931999969482422,0.405,0.4213000106811523,0.4342399902343758,0.9780778977836916,0.9999999984403524,16.829893112182617,16.832550048828125,16.8347110748291,0.920199966430664,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136
2013-06-26,True,100.0,100.0,100.0,100.0,6.1665706445848425,1.6961731131660922,0.7362777935102093,91.40097844873884,92.13725624224908,0.0,82.71504877596259,0.0,100.0,6.1665706445848425,6.629429628833966,6315,4.121788549610867,0.45,0.25,0.2799999952316284,0.3099999904632569,0.3700000047683716,0.5945999908447266,0.6013000106811524,0.6104000091552735,0.6177000045776367,0.9696909088784196,0.9999999993035557,16.515445709228516,16.518163681030273,16.52032470703125,0.8441999816894531,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135
2013-06-27,True,100.0,100.0,100.0,100.0,4.658861210659428,3.641352641909244,0.9520833536769948,90.74770279375434,91.69978614743133,0.0,93.02977335533704,0.0,100.0,4.658861210659428,5.61875653031531,4771,4.16377786674739,0.2599999904632568,0.15,0.1700000047683716,0.2099999904632568,0.3900000095367432,0.5818999862670898,0.5922999954223633,0.5995000076293946,0.6052999877929688,359.21166517122975,0.9999999993633748,17.875030517578125,17.877649307250977,17.879873275756836,0.7519000244140626,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134
2013-06-28,True,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,13.42095755172986,0.0,100.0,0.0,0.0,0,3.920630425654496,0.6000000000000001,,,,,0.3745999908447265,0.3927000045776367,0.4052000045776367,0.414900016784668,359.20141732410497,0.9999999983074116,17.561813354492188,17.564437866210938,17.566631317138672,0.6501000213623047,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133
2013-06-29,True,100.0,100.0,100.0,100.0,0.002929487242083,0.0136709404630542,0.0097649574736102,99.97363461482124,99.98339957229486,0.0,98.22961321003449,0.0,100.0,0.002929487242083,0.0156239319577763,3,3.894265040475749,0.1600000023841858,0.0350000008940696,0.0400000005960464,0.0450000002980232,0.0490000000596046,0.0308999991416931,0.0567999982833862,0.0748999977111816,0.0898999977111816,359.2889101295282,0.9999753202202164,17.248199462890625,17.250825881958008,17.252986907958984,0.545,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-132
2013-06-30,True,100.0,100.0,100.0,100.0,83.8145829874911,6.068921069848741,0.9960256623082406,9.12047028035193,10.116495942660167,0.0,0.9686837813821322,0.0,100.0,83.8145829874911,89.83565576571914,85832,3.883523587254777,0.0400000005960464,0.0400000005960464,0.0400000005960464,0.05,0.0699999988079071,0.2977000045776367,0.3120999908447265,0.3318000030517578,0.3468999862670898,0.9808487689932122,0.9999999971721611,16.934200286865234,16.936840057373047,16.939002990722656,0.4363000106811524,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131
2013-07-01,True,100.0,100.0,100.0,100.0,67.21513177810111,3.850322731844503,1.0214145517396274,27.91313093831476,28.934545490054393,0.0,26.180827482496316,0.0,100.0,67.21513177810111,68.18381555948324,68833,3.9557842725594927,0.0300000011920928,0.0200000002980232,0.0300000011920928,0.0400000005960464,0.0600000023841857,0.5402999877929687,0.548499984741211,0.5593999862670899,0.5681000137329102,0.9724356967827248,0.999999999217866,16.619829177856445,16.622516632080078,16.624679565429688,0.3386999893188476,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130
2013-07-02,True,100.0,100.0,100.0,100.0,0.1913931664827599,0.1220619684201275,0.0478482916206899,99.63869657347642,99.68654486509712,0.0,92.61085667971916,0.0,100.0,0.1913931664827599,0.2206880389035906,196,4.4899274463659715,0.0699999988079071,0.0300000011920928,0.05,0.05,0.0800000011920929,0.6286000061035156,0.637400016784668,0.6436000061035156,0.6486000061035156,359.2171075686068,0.9999995115773808,17.978849411010742,17.981475830078125,17.98373031616211,0.2498999977111816,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129
2013-07-03,True,100.0,100.0,100.0,100.0,48.54843907154785,6.223207397931782,1.4745085785151406,43.75384495200523,45.22835353052038,0.0,45.31721464353023,0.0,100.0,48.54843907154785,50.03954807776813,49717,4.059292821779762,0.0300000011920928,0.0200000002980232,0.0300000011920928,0.0400000005960464,0.05,0.4561999893188476,0.4713000106811523,0.481500015258789,0.4895999908447265,359.2046374515563,0.9999999989358004,17.665790557861328,17.668415069580078,17.670608520507812,0.1722999954223633,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128
2013-07-04,True,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,96.0774165828508,0.0,100.0,0.0,0.0,0,3.6579530696143814,0.0300000011920928,,,,,0.157200002670288,0.1819000053405761,0.198799991607666,0.2120000076293945,359.19555914927105,0.9999999895569032,17.352296829223633,17.354923248291016,17.357072830200195,0.1076000022888183,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127
2013-07-05,True,100.0,100.0,100.0,100.0,15.902233245774214,3.768297089066177,0.6737820656791039,79.6556875994805,80.3294696651596,0.0,61.58270430732274,0.0,100.0,15.902233245774214,18.42354526546037,16285,3.68529495054049,0.0400000005960464,0.0300000011920928,0.0300000011920928,0.0400000005960464,0.05,0.1857999992370605,0.2025,0.2256999969482422,0.2435000038146972,0.9833235464934093,0.9999999925319802,17.038402557373047,17.04102897644043,17.04319190979004,0.0573000001907348,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126
2013-07-06,True,100.0,100.0,100.0,100.0,0.5185192418487018,0.5068012928803695,0.1113205151991563,98.86335895007178,98.97467946527094,0.0,92.4243459919732,0.0,100.0,0.5185192418487018,0.5566025759957816,531,4.092493677190036,0.0200000002980232,0.0200000002980232,0.0300000011920928,0.0400000005960464,0.0899999976158142,0.4752999877929688,0.485099983215332,0.4984999847412109,0.5088999938964844,0.9752159217238728,0.999999998969484,16.724138259887695,16.726825714111328,16.728958129882812,0.0209999990463256,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125
2013-07-07,True,100.0,100.0,100.0,100.0,0.0693311980626324,0.8788461726249182,0.2685363305242805,98.78328629878816,99.05182262931244,0.0,96.99825207261222,0.0,100.0,0.0693311980626324,0.1142500024412393,71,4.4899274463659715,0.0400000005960464,0.0300000011920928,0.05,0.0600000023841857,0.1200000047683715,0.6419000244140625,0.6475,0.6544999694824218,0.6591999816894532,0.8068439782615542,0.9999612371954352,16.41012191772461,16.41302490234375,16.415742874145508,0.0038999998569488,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124
