unit_name,stage,expected_composites,observed_composites,retained_pct,median_recovery_pct,recovery_q25_pct,recovery_q75_pct,median_sc_pct,minimum_sc_pct,not_observable_composites
Alangalang Centre,Baseline,15,10,66.66666666666667,99.2583,95.74575805664062,144.40158462524414,88.23529411764706,0.0,5
Alangalang Centre,Stage 1 (0–59 d),15,12,80.0,22.437056,17.019238471984863,37.43782138824463,100.0,0.0,3
Alangalang Centre,Stage 2 (60–119 d),15,11,73.33333333333333,58.805542,35.51427745819092,76.47460174560547,100.0,0.0,4
Alangalang Centre,Stage 3 (120–179 d),15,13,86.66666666666667,109.694534,83.01516723632812,127.18572998046875,100.0,0.0,2
Alangalang Centre,Extended (180–363 d),46,34,73.91304347826087,95.73034,73.90520858764648,131.45359802246094,94.11764705882354,0.0,12
Baybay City Centre,Baseline,15,6,40.0,102.98227,77.1407642364502,108.14189910888672,0.0,0.0,9
Baybay City Centre,Stage 1 (0–59 d),15,11,73.33333333333333,44.601547,15.022420406341553,57.447425842285156,66.66666666666667,0.0,4
Baybay City Centre,Stage 2 (60–119 d),15,11,73.33333333333333,70.82686,47.00113296508789,81.69230651855469,100.0,0.0,4
Baybay City Centre,Stage 3 (120–179 d),15,11,73.33333333333333,82.47701,64.20924186706543,98.66313171386719,100.0,0.0,4
Baybay City Centre,Extended (180–363 d),46,27,58.69565217391305,84.75113,67.66666412353516,104.12743759155273,83.33333333333333,0.0,19
Guiuan Centre,Baseline,15,5,33.333333333333336,105.69158,91.3521728515625,110.68243408203125,0.0,0.0,10
Guiuan Centre,Stage 1 (0–59 d),15,12,80.0,34.138725,19.081443309783936,51.70390319824219,93.33333333333333,0.0,3
Guiuan Centre,Stage 2 (60–119 d),15,10,66.66666666666667,53.425537,36.27293300628662,69.43586158752441,86.66666666666667,0.0,5
Guiuan Centre,Stage 3 (120–179 d),15,12,80.0,54.80553,43.2149076461792,70.33149909973145,86.66666666666667,0.0,3
Guiuan Centre,Extended (180–363 d),46,30,65.21739130434783,66.15831,54.51534461975098,74.43923377990723,73.33333333333333,0.0,16
Ormoc City Centre,Baseline,15,7,46.666666666666664,103.419975,98.4853630065918,105.6426010131836,0.0,0.0,8
Ormoc City Centre,Stage 1 (0–59 d),15,12,80.0,33.13955,18.372860431671143,43.18051624298096,89.47368421052632,0.0,3
Ormoc City Centre,Stage 2 (60–119 d),15,12,80.0,54.951363,37.02503204345703,64.97971534729004,100.0,0.0,3
Ormoc City Centre,Stage 3 (120–179 d),15,12,80.0,67.05385,60.59947490692139,87.91062927246094,100.0,0.0,3
Ormoc City Centre,Extended (180–363 d),46,34,73.91304347826087,74.124245,59.12317085266113,93.52757453918457,86.84210526315789,0.0,12
Palo Centre,Baseline,15,10,66.66666666666667,102.04231,95.23984909057617,108.36996459960938,60.0,0.0,5
Palo Centre,Stage 1 (0–59 d),15,13,86.66666666666667,31.029833,25.174009323120117,37.63949203491211,88.0,0.0,2
Palo Centre,Stage 2 (60–119 d),15,11,73.33333333333333,34.719265,22.542448043823242,54.486785888671875,100.0,0.0,4
Palo Centre,Stage 3 (120–179 d),15,13,86.66666666666667,67.20799,52.63307571411133,82.35194396972656,100.0,0.0,2
Palo Centre,Extended (180–363 d),46,32,69.56521739130434,81.168526,67.33599090576172,101.88850402832031,92.0,0.0,14
Tacloban City Centre,Baseline,15,7,46.666666666666664,100.097176,91.14770126342773,108.94715118408203,0.0,0.0,8
Tacloban City Centre,Stage 1 (0–59 d),15,12,80.0,27.510935,18.630119800567627,36.483154296875,75.0,0.0,3
Tacloban City Centre,Stage 2 (60–119 d),15,10,66.66666666666667,43.19397,29.383665561676025,51.23328113555908,93.75,0.0,5
Tacloban City Centre,Stage 3 (120–179 d),15,13,86.66666666666667,59.53819,47.97442626953125,80.73249053955078,100.0,0.0,2
Tacloban City Centre,Extended (180–363 d),46,29,63.04347826086956,66.99597,58.25908279418945,84.33458709716797,87.5,0.0,17
