unit_name,unit_type,metric_definition,ghsl_mask,ghsl_classes,sc_threshold_pct,baseline_days,baseline_start,baseline_end,impact_date,impact_block,impact_recovery_pct,impact_drop_pct,impact_drop_range_pct,recovery_slope_pct_per_day,observed_days_below_baseline,stage3_stability_mad_pct,stage3_within_90_110_pct,median_event_sc_pct,minimum_event_sc_pct,retained_composites,expected_composites,retained_pct,max_gap_days,observability,quality_flag,T50_threshold_lost,T50_day,T50_observation_interval,T50_baseline_range,T50_status,T80_threshold_lost,T80_day,T80_observation_interval,T80_baseline_range,T80_status,T90_threshold_lost,T90_day,T90_observation_interval,T90_baseline_range,T90_status
Alangalang Centre,POI 5×5,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-16,2,2.432884454727173,97.56711554527283,96.4–98.5,0.49173035755452194,184,25.586326599121094,15.384615384615385,100.0,0.0,70,91,76.92307692307692,16,interpretable with interval timing,OBS_OK,True,84,84–84 d,20–136 d,supported; persistent return after observed nadir,True,136,132–136 d,104–196 d,supported; persistent return after observed nadir,True,140,140–140 d,104–196 d,supported; persistent return after observed nadir
Baybay City Centre,POI 5×5,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-16,2,3.803874969482422,96.19612503051758,95.2–96.6,0.36043027107465697,184,18.80575942993164,0.0,83.33333333333333,0.0,60,91,65.93406593406593,16,interpretable with interval timing,OBS_OK,True,44,36–44 d,32–76 d,supported; persistent return after observed nadir,True,116,116–116 d,104–196 d,supported; persistent return after observed nadir,True,196,196–196 d,116–196 d,supported; persistent return after observed nadir
Guiuan Centre,POI 5×5,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-08,0,7.45771598815918,92.54228401184082,90.5–94.3,0.1073006011872403,244,14.227359771728516,0.0,80.0,0.0,64,91,70.32967032967034,20,interpretable with interval timing,OBS_OK,True,20,20–20 d,20–108 d,supported; persistent return after observed nadir,True,344,344–344 d,108–344 d,supported; persistent return after observed nadir,True,344,344–344 d,≥176 d; conservative crossing absent,supported; persistent return after observed nadir
Ormoc City Centre,POI 5×5,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-16,2,9.675088882446289,90.32491111755371,89.1–92.0,0.16014527107797877,244,12.678323745727539,16.666666666666664,94.73684210526316,0.0,70,91,76.92307692307692,12,interpretable with interval timing,OBS_OK,True,72,60–72 d,72–72 d,supported; persistent return after observed nadir,True,164,164–164 d,164–356 d,supported; persistent return after observed nadir,True,356,356–356 d,≥164 d; conservative crossing absent,supported; persistent return after observed nadir
Palo Centre,POI 5×5,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-16,2,14.73658561706543,85.26341438293457,81.7–89.0,0.3341694059975581,232,15.143951416015625,7.6923076923076925,96.0,0.0,69,91,75.82417582417582,16,interpretable with interval timing,OBS_OK,True,108,108–108 d,104–148 d,supported; persistent return after observed nadir,True,148,148–148 d,148–148 d,supported; persistent return after observed nadir,True,148,148–148 d,148–148 d,supported; persistent return after observed nadir
Tacloban City Centre,POI 5×5,persistent return to 50/80/90% of the matched 60-day baseline after the observed 0–59 day nadir,G3,"(22, 23, 30)",10.0,60,2013-09-09,2013-11-07,2013-11-08,0,6.805822372436523,93.19417762756348,92.5–93.9,0.3310996305581983,240,18.256855010986328,15.384615384615385,93.75,0.0,64,91,70.32967032967034,16,interpretable with interval timing,OBS_OK,True,108,108–108 d,108–140 d,supported; persistent return after observed nadir,True,148,148–148 d,148–148 d,supported; persistent return after observed nadir,True,148,148–148 d,≥148 d; conservative crossing absent,supported; persistent return after observed nadir
