block,spatial_ref,quantile,current_radiance,matched_baseline_radiance,recovery_pct,recovery_low_pct,recovery_high_pct,spatial_coverage_pct,valid_pixel_count,date_start,date_end,date_mid,mean_ntl,observation_status,unit_name,unit_type,method,aggregation_days,ghsl_mask,sc_threshold_pct
50,0,0.95,22.013916,14.538079,151.42245,90.18193054199219,221.4849090576172,100.0,17,2014-05-27,2014-05-30,2014-05-28 12:00:00,1.2949362362132353,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
51,0,0.95,21.670279,14.538079,149.05875,88.77418518066406,218.02752685546875,100.0,17,2014-05-31,2014-06-03,2014-06-01 12:00:00,1.2747222675996668,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
52,0,0.95,15.664664,14.538079,107.7492,64.17166137695312,157.604248046875,100.0,17,2014-06-04,2014-06-07,2014-06-05 12:00:00,0.921450839323156,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
53,0,0.95,,,,,,0.0,0,2014-06-08,2014-06-11,2014-06-09 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
54,0,0.95,,,,,,5.882352941176471,1,2014-06-12,2014-06-15,2014-06-13 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
55,0,0.95,4.7121897,10.808985,43.59512,25.32389259338379,71.20340728759766,88.23529411764706,15,2014-06-16,2014-06-19,2014-06-17 12:00:00,0.31414597829182944,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
56,0,0.95,18.365326,14.538079,126.32567,75.23516082763672,184.77597045898438,100.0,17,2014-06-20,2014-06-23,2014-06-21 12:00:00,1.080313289866728,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
57,0,0.95,10.427301,12.309818,84.70719,50.312095642089844,120.95918273925781,82.3529411764706,14,2014-06-24,2014-06-27,2014-06-25 12:00:00,0.744807243347168,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
58,0,0.95,11.265296,14.538079,77.4882,46.14926528930664,113.34162139892578,100.0,17,2014-06-28,2014-07-01,2014-06-29 12:00:00,0.6626644695506376,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
59,0,0.95,12.503319,14.538079,86.00393,51.22093963623047,125.79754638671875,100.0,17,2014-07-02,2014-07-05,2014-07-03 12:00:00,0.7354893403894761,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
60,0,0.95,,,,,,0.0,0,2014-07-06,2014-07-09,2014-07-07 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
61,0,0.95,3.840904,14.538079,26.419611,15.734598159790039,38.64384078979492,100.0,17,2014-07-10,2014-07-13,2014-07-11 12:00:00,0.2259355292600744,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
62,0,0.95,11.066779,14.538079,76.1227,45.33602523803711,111.34432220458984,100.0,17,2014-07-14,2014-07-17,2014-07-15 12:00:00,0.6509870080386891,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
63,0,0.95,,,,,,0.0,0,2014-07-18,2014-07-21,2014-07-19 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
64,0,0.95,,,,,,0.0,0,2014-07-22,2014-07-25,2014-07-23 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
65,0,0.95,,,,,,0.0,0,2014-07-26,2014-07-29,2014-07-27 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
66,0,0.95,,,,,,0.0,0,2014-07-30,2014-08-02,2014-07-31 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
67,0,0.95,35.594025,14.538079,244.83305,145.81402587890625,358.1161804199219,100.0,17,2014-08-03,2014-08-06,2014-08-04 12:00:00,2.0937661563648895,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
