unit_name,unit_type,ghsl_mask,ghsl_classes,sc_threshold_pct,baseline_start,baseline_end,impact_date,impact_recovery_pct,impact_drop_pct,impact_drop_range_pct,recovery_slope_pct_per_day,observed_days_below_baseline,stage3_stability_mad_pct,stage3_within_90_110_pct,median_event_sc_pct,minimum_event_sc_pct,retained_composites,expected_composites,retained_pct,max_gap_days,observability,quality_flag,T50_day,T50_observation_interval,T50_baseline_range,T50_status,T80_day,T80_observation_interval,T80_baseline_range,T80_status,T90_day,T90_observation_interval,T90_baseline_range,T90_status
Alangalang Centre,POI 5×5,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-16,2.430006980895996,97.569993019104,96.4–98.6,0.5223830444806747,180,31.355697631835938,7.6923076923076925,100.0,0.0,70,91,76.92307692307692,16,interpretable with interval timing,OBS_OK,84,84–84 d,20–136 d,supported; interval-censored,136,132–136 d,84–196 d,supported; interval-censored,140.0,140–140 d,104–196 d,supported; interval-censored
Baybay City Centre,POI 5×5,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-16,3.6413724422454834,96.35862755775452,95.4–96.8,0.33803255049150815,156,17.472259521484375,18.181818181818183,83.33333333333333,0.0,60,91,65.93406593406593,16,interpretable with interval timing,OBS_OK,44,36–44 d,32–44 d,supported; interval-censored,104,104–104 d,44–104 d,supported; interval-censored,104.0,104–104 d,44–104 d,supported; interval-censored
Guiuan Centre,POI 5×5,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-08,7.407619476318359,92.59238052368164,90.7–94.3,0.07531602349783541,240,9.798883438110352,0.0,80.0,0.0,64,91,70.32967032967034,20,interpretable with interval timing,OBS_OK,20,20–20 d,20–88 d,supported; interval-censored,104,104–104 d,20–344 d,supported; interval-censored,344.0,344–344 d,≥88 d; conservative crossing absent,supported; interval-censored
Ormoc City Centre,POI 5×5,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-08,8.802701950073242,91.19729804992676,90.0–92.4,0.1638243750350831,260,11.852180480957031,16.666666666666664,94.73684210526316,0.0,70,91,76.92307692307692,12,interpretable with interval timing,OBS_OK,76,76–76 d,32–116 d,supported; interval-censored,168,168–168 d,116–348 d,supported; interval-censored,348.0,348–348 d,≥164 d; conservative crossing absent,supported; interval-censored
Palo Centre,POI 5×5,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-08,13.590723991394043,86.40927600860596,82.4–89.9,0.3015298502701005,240,14.867164611816406,15.384615384615385,96.0,0.0,69,91,75.82417582417582,16,interpretable with interval timing,OBS_OK,108,108–108 d,104–148 d,supported; interval-censored,148,148–148 d,116–316 d,supported; interval-censored,148.0,148–148 d,148–316 d,supported; interval-censored
Tacloban City Centre,POI 5×5,G2,"(23, 30)",10.0,2013-09-09,2013-11-07,2013-11-08,5.530839920043945,94.46916007995605,94.0–95.1,0.15005890252867282,248,11.819766998291016,7.6923076923076925,93.75,0.0,64,91,70.32967032967034,16,interpretable with interval timing,OBS_OK,108,108–108 d,108–148 d,supported; interval-censored,356,352–356 d,≥196 d; conservative crossing absent,supported; interval-censored,,,≥356 d; conservative crossing absent,not recovered by 363 d
