block,spatial_ref,quantile,current_radiance,matched_baseline_radiance,recovery_pct,recovery_low_pct,recovery_high_pct,spatial_coverage_pct,valid_pixel_count,date_start,date_end,date_mid,mean_ntl,observation_status,unit_name,unit_type,method,aggregation_days,ghsl_mask,sc_threshold_pct
-27,0,0.95,,,,,,0.0,0,2013-07-23,2013-07-26,2013-07-24 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-26,0,0.95,,,,,,0.0,0,2013-07-27,2013-07-30,2013-07-28 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-25,0,0.95,,,,,,0.0,0,2013-07-31,2013-08-03,2013-08-01 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-24,0,0.95,15.870255,21.215687,74.804344,51.470394134521484,100.81394958496094,34.31372549019608,35,2013-08-04,2013-08-07,2013-08-05 12:00:00,0.45343587057931084,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-23,0,0.95,,,,,,0.0,0,2013-08-08,2013-08-11,2013-08-09 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-22,0,0.95,,,,,,0.0,0,2013-08-12,2013-08-15,2013-08-13 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-21,0,0.95,,,,,,0.0,0,2013-08-16,2013-08-19,2013-08-17 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-20,0,0.95,,,,,,0.0,0,2013-08-20,2013-08-23,2013-08-21 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-19,0,0.95,,,,,,0.0,0,2013-08-24,2013-08-27,2013-08-25 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-18,0,0.95,221.12357,196.1124,112.753494,83.8019790649414,153.00994873046875,100.0,102,2013-08-28,2013-08-31,2013-08-29 12:00:00,2.167878094841452,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-17,0,0.95,201.36713,196.1124,102.67945,76.31462860107422,139.33917236328125,100.0,102,2013-09-01,2013-09-04,2013-09-02 12:00:00,1.9741875143612133,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-16,0,0.95,208.81226,196.1124,106.475815,79.1362075805664,144.49095153808594,100.0,102,2013-09-05,2013-09-08,2013-09-06 12:00:00,2.0471789790134802,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-15,0,0.95,47.346176,63.651817,74.38307,51.16965866088867,110.20954132080078,65.68627450980392,67,2013-09-09,2013-09-12,2013-09-10 12:00:00,0.7066593454844916,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-14,0,0.95,181.46555,188.21402,96.41447,71.1238021850586,132.1480712890625,99.01960784313725,101,2013-09-13,2013-09-16,2013-09-14 12:00:00,1.7966885708346225,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-13,0,0.95,,,,,,0.0,0,2013-09-17,2013-09-20,2013-09-18 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-12,0,0.95,,,,,,0.0,0,2013-09-21,2013-09-24,2013-09-22 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-11,0,0.95,149.43811,149.7323,99.80352,73.71480560302734,136.69358825683594,71.56862745098039,73,2013-09-25,2013-09-28,2013-09-26 12:00:00,2.0470974020761985,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-10,0,0.95,,,,,,0.0,0,2013-09-29,2013-10-02,2013-09-30 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-9,0,0.95,355.6129,187.76414,189.39342,140.10028076171875,257.85400390625,98.03921568627452,100,2013-10-03,2013-10-06,2013-10-04 12:00:00,3.556129150390625,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-8,0,0.95,,,,,,0.0,0,2013-10-07,2013-10-10,2013-10-08 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-7,0,0.95,198.49336,196.1124,101.21408,75.22552490234375,137.35061645507812,100.0,102,2013-10-11,2013-10-14,2013-10-12 12:00:00,1.9460133571250766,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-6,0,0.95,179.98018,196.1124,91.773994,68.2093505859375,124.54013061523438,100.0,102,2013-10-15,2013-10-18,2013-10-16 12:00:00,1.764511557186351,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-5,0,0.95,,,,,,0.0,0,2013-10-19,2013-10-22,2013-10-20 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-4,0,0.95,175.60483,177.22461,99.08603,73.72139739990234,134.721435546875,82.3529411764706,84,2013-10-23,2013-10-26,2013-10-24 12:00:00,2.090533665248326,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-3,0,0.95,88.34144,117.10605,75.437126,54.40687561035156,102.71180725097656,76.47058823529412,78,2013-10-27,2013-10-30,2013-10-28 12:00:00,1.132582542223808,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-2,0,0.95,243.69907,179.63017,135.66711,100.37305450439453,183.11557006835938,96.07843137254902,98,2013-10-31,2013-11-03,2013-11-01 12:00:00,2.4867251649194833,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
-1,0,0.95,46.857502,41.076645,114.07334,77.36004638671875,153.80538940429688,50.98039215686274,52,2013-11-04,2013-11-07,2013-11-05 12:00:00,0.9011058073777419,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
0,0,0.95,22.98893,175.73698,13.081442,9.63582706451416,17.774240493774414,87.25490196078431,89,2013-11-08,2013-11-11,2013-11-09 12:00:00,0.25830258144421525,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
1,0,0.95,53.285072,196.1124,27.170681,20.194114685058594,36.8714485168457,100.0,102,2013-11-12,2013-11-15,2013-11-13 12:00:00,0.5224026698692172,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
2,0,0.95,32.526764,173.10751,18.789919,13.74124526977539,25.530532836914062,96.07843137254902,98,2013-11-16,2013-11-19,2013-11-17 12:00:00,0.3319057542450574,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
3,0,0.95,,,,,,0.0,0,2013-11-20,2013-11-23,2013-11-21 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
4,0,0.95,24.044739,53.410522,45.01873,32.431949615478516,59.85067367553711,51.96078431372549,53,2013-11-24,2013-11-27,2013-11-25 12:00:00,0.45367431640625,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
5,0,0.95,66.107925,196.1124,33.7092,25.05375099182129,45.744422912597656,100.0,102,2013-11-28,2013-12-01,2013-11-29 12:00:00,0.6481169158337163,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
6,0,0.95,82.46652,196.1124,42.050644,31.253374099731445,57.06401443481445,100.0,102,2013-12-02,2013-12-05,2013-12-03 12:00:00,0.8084953158509498,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
7,0,0.95,86.83529,196.1124,44.278328,32.909061431884766,60.08705520629883,100.0,102,2013-12-06,2013-12-09,2013-12-07 12:00:00,0.8513263627594593,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
